date,open,high,low,close,volume,ticker
19-Oct-16,42.30,42.94,42.26,42.73,14532469,YHOO
19-Oct-16,820.40,820.67,815.17,817.69,2090706,AMZN
19-Oct-16,151.27,152.45,150.83,151.26,4632854,IBM
19-Sep-16,43.92,43.95,43.00,43.19,7887375,YHOO
19-Sep-16,779.97,781.94,771.00,775.10,2297221,AMZN
19-Sep-16,154.87,156.19,154.55,154.87,2450117,IBM
2-Aug-16,38.60,38.67,38.26,38.57,7504721,YHOO
2-Aug-16,763.81,765.01,757.02,760.58,3603280,AMZN
2-Aug-16,161.27,161.45,160.36,160.58,3080899,IBM
2-Dec-16,39.77,40.32,39.58,40.07,8588544,YHOO
2-Dec-16,743.40,748.49,736.70,740.34,3561307,AMZN
2-Dec-16,159.00,160.29,158.41,160.02,2740867,IBM
2-Feb-16,29.32,30.23,28.13,29.06,34088167,YHOO
2-Feb-16,570.00,571.56,550.09,552.10,6281425,AMZN
2-Feb-16,123.67,124.14,122.64,122.94,3279196,IBM
2-Jun-16,36.66,37.22,36.58,37.15,12179259,YHOO
2-Jun-16,720.97,728.28,715.50,728.24,3026583,AMZN
2-Jun-16,152.59,153.50,152.12,153.50,2642601,IBM
2-Mar-16,32.81,33.24,32.77,32.91,10458566,YHOO
2-Mar-16,581.75,585.00,573.70,580.21,4576922,AMZN
2-Mar-16,133.70,137.44,133.22,136.30,5168887,IBM
2-May-16,36.65,36.74,36.32,36.53,6581891,YHOO
2-May-16,663.92,685.50,662.03,683.85,6560872,AMZN
2-May-16,146.56,147.00,144.43,145.27,3499020,IBM
2-Nov-16,41.80,42.16,40.36,40.68,13019956,YHOO
2-Nov-16,783.93,784.75,763.55,765.56,5026504,AMZN
2-Nov-16,152.48,153.34,151.67,151.95,3074438,IBM
2-Sep-16,43.27,43.60,43.08,43.28,7334914,YHOO
2-Sep-16,774.11,776.00,771.70,772.44,2157422,AMZN
2-Sep-16,159.88,160.57,159.15,159.55,2315366,IBM
20-Apr-16,37.10,38.18,37.00,37.84,30758921,YHOO
20-Apr-16,630.00,636.55,623.00,632.99,2601549,AMZN
20-Apr-16,144.24,147.20,144.00,146.11,6721442,IBM
20-Dec-16,38.40,39.18,38.24,39.16,25008427,YHOO
20-Dec-16,768.65,774.39,767.71,771.22,2703629,AMZN
20-Dec-16,167.49,168.25,166.45,167.60,2174569,IBM
20-Jul-16,38.36,38.93,38.26,38.90,8177973,YHOO
20-Jul-16,744.00,746.25,740.70,745.72,2214023,AMZN
20-Jul-16,159.97,161.71,159.60,161.36,4376286,IBM
20-Jun-16,37.27,37.68,37.24,37.29,8957313,YHOO
20-Jun-16,713.50,721.31,710.81,714.01,3677162,AMZN
20-Jun-16,152.60,154.67,152.52,153.61,3572102,IBM
20-May-16,36.05,36.72,35.88,36.50,34311031,YHOO
20-May-16,701.05,707.24,700.00,702.80,2867442,AMZN
20-May-16,145.71,147.51,145.55,147.25,3576766,IBM
20-Oct-16,42.69,42.69,42.07,42.38,11671022,YHOO
20-Oct-16,813.99,815.71,803.10,810.32,3151954,AMZN
20-Oct-16,151.28,152.90,151.02,151.52,4023103,IBM
20-Sep-16,43.24,43.38,42.66,42.79,9788923,YHOO
20-Sep-16,776.00,781.37,776.00,780.22,1937164,AMZN
20-Sep-16,155.87,156.57,154.45,154.45,2159092,IBM
21-Apr-16,37.92,38.12,37.35,37.67,11633739,YHOO
21-Apr-16,631.00,637.82,628.50,631.00,2550919,AMZN
21-Apr-16,146.58,150.12,146.46,149.30,5992604,IBM
21-Dec-16,39.08,39.32,38.97,39.15,8296515,YHOO
21-Dec-16,770.00,771.22,765.70,770.60,2044629,AMZN
21-Dec-16,166.25,167.94,165.25,167.33,3575721,IBM
21-Jan-16,28.75,29.80,28.19,29.31,16073930,YHOO
21-Jan-16,573.58,588.81,568.22,575.02,4932633,AMZN
21-Jan-16,121.30,125.10,120.58,122.91,8845201,IBM
21-Jul-16,39.01,39.25,38.72,38.85,7671760,YHOO
21-Jul-16,747.50,749.36,742.79,744.43,2317072,AMZN
21-Jul-16,160.75,161.85,159.89,160.45,4048975,IBM
21-Jun-16,37.37,37.55,37.20,37.40,5574603,YHOO
21-Jun-16,715.72,718.40,712.72,715.82,2137534,AMZN
21-Jun-16,154.16,154.57,153.69,154.05,2760344,IBM
21-Mar-16,35.00,36.10,35.00,35.47,13279376,YHOO
21-Mar-16,548.91,555.24,538.58,553.98,5146137,AMZN
21-Mar-16,147.30,148.71,146.72,148.63,3714259,IBM
21-Nov-16,41.44,41.48,40.94,41.11,11355856,YHOO
21-Nov-16,766.00,780.35,765.11,780.00,4614574,AMZN
21-Nov-16,160.69,163.00,160.37,162.77,4637097,IBM
21-Oct-16,42.10,42.20,41.73,42.17,7194168,YHOO
21-Oct-16,809.36,819.42,809.00,818.99,2793015,AMZN
21-Oct-16,150.58,151.15,149.56,149.63,4414206,IBM
21-Sep-16,42.89,44.22,42.89,44.14,12313680,YHOO
21-Sep-16,783.25,790.69,779.01,789.74,2718644,AMZN
21-Sep-16,154.91,155.68,153.87,155.53,2473895,IBM
22-Apr-16,37.50,38.09,37.16,37.48,9071816,YHOO
22-Apr-16,624.47,628.25,611.56,620.50,5069891,AMZN
22-Apr-16,149.44,151.00,147.50,148.50,5190627,IBM
22-Aug-16,42.84,42.87,42.33,42.52,6229402,YHOO
22-Aug-16,757.50,759.85,752.10,759.48,1679251,AMZN
22-Aug-16,160.00,160.57,159.13,160.00,2039331,IBM
22-Dec-16,38.69,38.79,38.26,38.50,11685650,YHOO
22-Dec-16,768.12,771.21,763.02,766.34,2543551,AMZN
22-Dec-16,167.36,168.23,166.58,167.06,2802631,IBM
22-Feb-16,30.65,31.21,30.39,31.17,21455295,YHOO
22-Feb-16,542.20,560.65,541.08,559.50,5541066,AMZN
22-Feb-16,133.84,134.31,132.41,133.77,4441519,IBM
22-Jan-16,29.97,30.52,29.31,29.75,16272093,YHOO
22-Jan-16,588.73,600.10,584.11,596.38,5101123,AMZN
22-Jan-16,124.67,124.74,121.77,122.50,9237033,IBM
22-Jul-16,38.90,39.42,38.78,39.38,11325660,YHOO
22-Jul-16,747.79,751.28,743.53,744.86,2277711,AMZN
22-Jul-16,160.78,162.17,160.48,162.07,2520077,IBM
22-Jun-16,37.37,37.52,37.17,37.36,6279215,YHOO
22-Jun-16,716.58,717.00,707.56,710.60,2260454,AMZN
22-Jun-16,153.75,154.71,152.27,152.92,2833664,IBM
22-Mar-16,34.68,35.61,34.68,35.41,11272275,YHOO
22-Mar-16,545.11,562.76,545.05,560.48,3990902,AMZN
22-Mar-16,148.06,149.28,147.84,148.10,4054809,IBM
22-Nov-16,41.20,41.40,40.83,41.01,8881541,YHOO
22-Nov-16,788.17,792.40,781.00,785.33,5311320,AMZN
22-Nov-16,163.00,163.00,161.95,162.67,2770789,IBM
22-Sep-16,43.94,44.87,43.74,44.15,33355616,YHOO
22-Sep-16,794.27,805.89,794.27,804.70,4078910,AMZN
22-Sep-16,156.15,157.22,155.69,156.11,2691115,IBM
23-Aug-16,42.61,42.91,42.45,42.60,8963786,YHOO
23-Aug-16,763.31,764.70,761.00,762.45,1524131,AMZN
23-Aug-16,160.33,161.34,160.23,160.26,2838137,IBM
23-Dec-16,38.46,38.81,38.37,38.66,3841245,YHOO
23-Dec-16,764.55,766.50,757.99,760.59,1981616,AMZN
23-Dec-16,167.00,167.49,166.45,166.71,1701228,IBM
23-Feb-16,31.20,31.38,30.50,30.67,16847456,YHOO
23-Feb-16,555.55,556.91,545.33,552.94,4035929,AMZN
23-Feb-16,133.14,133.41,132.01,132.40,3372962,IBM
23-Jun-16,37.64,37.78,37.41,37.78,7710892,YHOO
23-Jun-16,715.50,722.12,712.50,722.08,2824974,AMZN
23-Jun-16,153.45,155.48,152.60,155.35,3969369,IBM
23-Mar-16,35.43,35.70,34.71,34.80,12192595,YHOO
23-Mar-16,561.00,572.48,558.10,569.63,3966131,AMZN
23-Mar-16,148.00,148.03,145.13,145.40,4753828,IBM
23-May-16,36.46,36.94,36.43,36.66,7768631,YHOO
23-May-16,704.25,706.00,696.42,696.75,2579171,AMZN
23-May-16,147.61,147.95,146.66,146.77,2088554,IBM
23-Nov-16,40.91,40.98,40.54,40.96,3719257,YHOO
23-Nov-16,781.73,781.75,773.12,780.12,3540263,AMZN
23-Nov-16,161.94,162.38,161.36,161.98,2256165,IBM
23-Sep-16,43.50,43.76,42.54,42.80,31888521,YHOO
23-Sep-16,803.13,807.75,802.12,805.75,2353511,AMZN
23-Sep-16,155.62,156.04,154.71,154.98,2702153,IBM
24-Aug-16,42.50,42.77,41.79,41.91,6930295,YHOO
24-Aug-16,763.00,763.41,755.36,757.25,1744107,AMZN
24-Aug-16,159.89,160.18,158.32,159.05,3645837,IBM
24-Feb-16,30.41,31.12,29.80,30.95,12612029,YHOO
24-Feb-16,545.75,554.27,533.15,554.04,6207285,AMZN
24-Feb-16,131.55,133.49,129.68,132.80,4087400,IBM
24-Jun-16,36.40,36.95,36.08,36.24,19657828,YHOO
24-Jun-16,693.00,712.53,692.20,698.96,7632511,AMZN
24-Jun-16,149.97,150.61,146.18,146.59,9082793,IBM
24-Mar-16,34.45,34.86,33.93,34.86,14101549,YHOO
24-Mar-16,567.11,583.55,567.08,582.95,5141569,AMZN
24-Mar-16,144.98,148.22,144.49,147.95,5042895,IBM
24-May-16,36.85,37.63,36.77,37.53,10601318,YHOO
24-May-16,698.01,707.50,698.00,704.20,2851442,AMZN
24-May-16,146.88,148.75,146.88,148.31,2827106,IBM
24-Oct-16,42.50,42.68,42.38,42.59,4346851,YHOO
24-Oct-16,824.95,838.30,822.21,838.09,4060899,AMZN
24-Oct-16,150.40,151.52,150.40,150.57,2666740,IBM
25-Apr-16,37.47,37.54,37.18,37.23,9823457,YHOO
25-Apr-16,616.61,626.98,616.25,626.20,2666702,AMZN
25-Apr-16,148.16,148.90,147.11,148.81,2845511,IBM
25-Aug-16,41.83,42.24,41.73,42.03,5360912,YHOO
25-Aug-16,756.00,760.56,754.74,759.22,1622992,AMZN
25-Aug-16,159.00,159.54,158.42,158.63,2575023,IBM
25-Feb-16,30.74,31.36,30.24,31.36,19842342,YHOO
25-Feb-16,555.52,559.39,545.29,555.15,4510534,AMZN
